hypothesis_id,null_kind,domain,seed_tag,split_regime,layer,adaptive_k,perm_idx,null_value
H142,endpoint_swap_within_distance_bins,external_lung,seed42_main,dual_axis_disjoint,11,11,0,-0.036644345238095344
H142,endpoint_swap_within_distance_bins,external_lung,seed42_main,dual_axis_disjoint,11,11,1,-0.007068452380952328
H142,endpoint_swap_within_distance_bins,external_lung,seed42_main,dual_axis_disjoint,11,11,2,-0.030505952380952328
H142,endpoint_swap_within_distance_bins,external_lung,seed42_main,dual_axis_disjoint,11,11,3,-0.014880952380952328
H142,endpoint_swap_within_distance_bins,external_lung,seed42_main,dual_axis_disjoint,11,11,4,-0.008928571428571397
H142,endpoint_swap_within_distance_bins,external_lung,seed42_main,dual_axis_disjoint,11,11,5,-0.005394345238095233
H142,endpoint_swap_within_distance_bins,external_lung,seed42_main,dual_axis_disjoint,11,11,6,-0.0306919642857143
H142,endpoint_swap_within_distance_bins,external_lung,seed42_main,dual_axis_disjoint,11,11,7,-0.03757440476190477
H142,endpoint_swap_within_distance_bins,external_lung,seed43,dual_axis_disjoint,11,10,0,-0.07085535329810122
H142,endpoint_swap_within_distance_bins,external_lung,seed43,dual_axis_disjoint,11,10,1,-0.011939714229790455
H142,endpoint_swap_within_distance_bins,external_lung,seed43,dual_axis_disjoint,11,10,2,-0.018398903895087027
H142,endpoint_swap_within_distance_bins,external_lung,seed43,dual_axis_disjoint,11,10,3,-0.005284791544333478
H142,endpoint_swap_within_distance_bins,external_lung,seed43,dual_axis_disjoint,11,10,4,-0.052456449403014194
H142,endpoint_swap_within_distance_bins,external_lung,seed43,dual_axis_disjoint,11,10,5,-0.035036210608729634
H142,endpoint_swap_within_distance_bins,external_lung,seed43,dual_axis_disjoint,11,10,6,-0.013701311411234984
H142,endpoint_swap_within_distance_bins,external_lung,seed43,dual_axis_disjoint,11,10,7,-0.004110393423370384
H142,endpoint_swap_within_distance_bins,external_lung,seed44,dual_axis_disjoint,11,10,0,-0.02777777777777779
H142,endpoint_swap_within_distance_bins,external_lung,seed44,dual_axis_disjoint,11,10,1,-0.07359038142620233
H142,endpoint_swap_within_distance_bins,external_lung,seed44,dual_axis_disjoint,11,10,2,-0.05099502487562202
H142,endpoint_swap_within_distance_bins,external_lung,seed44,dual_axis_disjoint,11,10,3,-0.07441956882255396
H142,endpoint_swap_within_distance_bins,external_lung,seed44,dual_axis_disjoint,11,10,4,-0.06778606965174139
H142,endpoint_swap_within_distance_bins,external_lung,seed44,dual_axis_disjoint,11,10,5,0.0035240464344942213
H142,endpoint_swap_within_distance_bins,external_lung,seed44,dual_axis_disjoint,11,10,6,-0.08146766169154229
